FCCFFI232.PV,FCCFPC175.MV,FCCFPC175.PV,FCCGAI008.PV,FCCGDI501AM.PV,FCCGDI501M.PV,FCCGDI502M.PV,FCCGFC014.PV,FCCGFC028.MV,FCCGFC028.PV,FCCGFC030.PV,FCCGFI004.PV,FCCGLC040.PV,FCCGLC501.MV,FCCGLC501.PV,FCCGLI015.PV,FCCGPC039.PV,FCCGPDI510.PV,FCCGPI022.PV,FCCGPI023.PV,FCCGPI025.PV,FCCGPI501.PV,FCCGPI505.PV,FCCGPI508.PV,FCCGPI509.PV,FCCGPI511.PV,FCCGPI512.PV,FCCGTI012.PV,FCCGTI037.PV,FCCGTI501M.PV,FCCGTI502M.PV,FCCGTI503M.PV,FCCGTI505AM.PV,FCCGTI506M.PV,FCCGTI507M.PV,FCCGTI508M.PV,FCCGTI509M.PV,FCCGTI510M.PV,FCCGTI511M.PV,FCCGTI514M.PV,FCCGTI518M.PV,FCCGTI521M.PV,FCCGTI522M.PV,FCCGTI528.PV,FCCGTI529M.PV,FCCGYI501M.PV,FCCGYI502.PV,FCCGYI503.PV,FCCGYI504.PV,FCCGYI505.PV,FCCGYI507M.PV,FCCGYI508.PV
2599.26,82.2,1.55,0.6,0.131474,0.143443,0.0711403,679.1,100,407.1,175.933,157.1,39.1928,20.1,59.8,-0.8,5.458,6665.9,6.1,5.4,13.2,10.4,16.6,-0.837002,-0.1,3.2,2.6,59.5,47.7,46.9818,68.974,51.2777,50.9789,60.9752,76.9706,60.9752,61.9751,72.9172,70.9715,53.9785,104.99,104.99,45.9952,318.1,59.9876,28.1525,35.75,32.7,40.2,24.8,14.3718,14.6828
2600.329,82,1.55,0.6,0.13208,0.144072,0.0713399,670.87,100,403.5,176.156,151.6,40.8012,20.1,60.3,-0.8,5.456,6676,6.1,5.4,13.1,10.4,16.6,-0.8346,-0.1,3.2,2.6,59.7,47.6,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.2137,70.9715,53.9785,104.498,104.99,45.9515,317.8,59.9945,28.1903,35.73,32.8,40.3,24.9,14.3957,14.5922
2603.39,82.2,1.55,0.6,0.132,0.143919,0.0713196,673.14,100,405,173.681,155.8,39.0372,20.9,59.7,-0.8,5.462,6668.6,6.1,5.4,13.2,10.4,16.6,-0.835025,-0.1,3.2,2.6,59.7,47.5,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.937,70.9715,53.9785,104.988,104.99,45.348,317.8,59.9945,28.1578,35.66,32.8,40.3,25,14.4768,14.7388
2603.428,82.3,1.55,0.6,0.131718,0.143643,0.0712234,674.41,100,405.9,173.718,155.9,41.0423,19.6,60.3,-0.8,5.461,6673.3,6.1,5.4,13.1,10.4,16.5,-0.836507,-0.1,3.2,2.6,59.6,47.5,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.9712,70.9715,53.9785,104.99,104.567,44.9958,317.8,59.9945,28.1755,35.71,32.8,40.3,25.1,14.6231,14.9893
2605.028,82.3,1.55,0.6,0.131971,0.143746,0.0712312,672.45,100,405.4,174.727,154.2,38.9482,21.4,59.8,-0.8,5.461,6676.8,6.1,5.4,13.1,10.4,16.5,-0.836317,-0.1,3.2,2.6,59.5,47.4,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.9712,70.9715,53.9785,104.99,104.304,44.9958,318.1,59.9945,28.213,35.69,32.7,40.2,25.2,14.5861,14.9584
2602.087,82.3,1.55,0.6,0.132212,0.143801,0.0711055,672.88,100,405.3,174.178,156.5,41.03,19.3,60.1,-0.8,5.461,6669.9,6.1,5.4,13.1,10.3,16.5,-0.835239,-0.1,3.2,2.6,59.7,47.3,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.5226,70.9715,53.7947,104.987,103.998,44.9958,318.6,59.9945,28.1409,35.62,32.7,40.3,25.2,14.5072,14.8578
2607.527,82.2,1.55,0.6,0.131958,0.143575,0.0711016,672.59,100,405.3,176.605,155.5,39.0117,21.3,60,-0.8,5.46,6684.4,6.1,5.4,13.1,10.4,16.5,-0.837117,-0.1,3.2,2.6,59.5,47.2,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.3299,70.9715,52.9786,104.134,104.009,44.9958,318.6,59.9945,28.1505,35.72,32.7,40.4,25.2,14.5177,14.8258
2603.533,82.1,1.55,0.6,0.131677,0.143377,0.0711644,669.76,100,404.3,176.628,155.1,40.9979,19.6,59.9,-0.7,5.457,6666.2,6.1,5.4,13.1,10.5,16.6,-0.840228,-0.1,3.2,2.6,59.3,47.1,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,71.9753,70.9715,52.9786,103.991,103.991,44.9958,318.4,59.8793,28.1808,35.74,32.8,40.3,25.2,14.5782,14.8727
2598.957,82.3,1.55,0.6,0.132214,0.143935,0.071048,670.73,100,404.6,175.57,154.9,38.9834,20.7,60.2,-0.8,5.461,6678.2,6.1,5.4,13.2,10.6,16.7,-0.839068,-0.1,3.2,2.6,59.3,47,46.9818,68.974,50.9789,50.9789,60.9752,76.9706,60.9752,61.9751,72.2196,70.9715,52.9786,103.991,103.991,44.9958,318.3,59.9944,28.1826,35.75,32.8,40.3,25.4,14.7192,15.1496
2600.4,82.3,1.55,0.6,0.132635,0.144212,0.0707321,675.81,100,406.1,175.024,156.1,41.0692,20.5,59.8,-0.9,5.46,6664,6.1,5.4,13.2,10.6,16.7,-0.836033,-0.1,3.2,2.6,59.8,47,46.9818,68.974,50.9789,50.924,60.9752,76.9706,60.9752,61.9751,72.123,70.9715,52.9786,103.991,103.991,44.9958,318.1,59.9945,28.2003,35.69,32.8,40.3,25.1,14.5032,14.7814
